Roodlichtcamera's,,,,,,,
Provincie,Gemeente,Nr_1e_Weg,Kmpt_1ste_weg,Straatnaam_1e_weg,Nr_2e_Weg,Straatnaam_2e_weg,Aantal flitspalen
Vlaams-Brabant,Herent,N26,2.67,Omleiding,,Wijgmaalsesteenweg / Onze-Lieve-Vrouwstraat,2
Vlaams-Brabant,Holsbeek,N223,2.3,Rijksweg,,op- en afrit A2/E314,3
Vlaams-Brabant,Holsbeek,N223,3.5,Rijksweg,,Sint Lambertusstraat,2
Vlaams-Brabant,Kampenhout,N21,19.57,Haachtsesteenweg,,Tobbackstraat / Hutstraat,2
Vlaams-Brabant,Lennik,N8,13.74,Ninoofsesteenweg,N285,Assesteenweg,2
Vlaams-Brabant,Lennik,N8,15.2,Ninoofsesteenweg,,Kleemstraat/Openluchtweg,2
Vlaams-Brabant,Leuven,N2,25.05,Diestsesteenweg,,RerumNovarumstraat / Borstelstraat,2
Vlaams-Brabant,Leuven,N25,2.3,Meerdalboslaan,,Geldenaaksebaan,2
Vlaams-Brabant,Leuven,N251,0.7,Naamsesteenweg,,Station Heverlee,1
Vlaams-Brabant,Leuven,N26,0.14,Nieuwe Mechelsesteenweg / Donkerstraat,R23,Den Boschsingel (buitenring),2
Vlaams-Brabant,Leuven,N264,1,Koning Boudewijnlaan,,Celestijnenlaan,2
Vlaams-Brabant,Leuven,N264,2.3,Koning Boudewijnlaan,N253,St. Jansbergsesteenweg,4
Vlaams-Brabant,Leuven,N3,24.9,Tervuursesteenweg,N253,St. Jansbergsesteenweg,2
Vlaams-Brabant,Leuven,N3,26.52,Tiensesteenweg,,A. Stainierstraat,2
Vlaams-Brabant,Leuven,N3,27.74,Tiensesteenweg,N25,Meerdaalboslaan,2
Vlaams-Brabant,Leuven,R23,1.12,Artoisplein,N19,Aarschotsesteenweg,5
Vlaams-Brabant,Leuven,R23,2.86,Geldenaaksevest / Tiensevest,N3,Tienseln / Blijde Inkomstr / Tiensesteenwg,4
Vlaams-Brabant,Leuven,R23,3.55,Naamsevest / Ruelensvest,,Parkstraat / Geldenaaksebaan,2
Vlaams-Brabant,Leuven,R23,4.2,Tervuursevest / Naamsevest / Ruelensvest,N251,Naamsestwg / Naamsestraat deel2,3
Vlaams-Brabant,Leuven,R23,4.9,Tervuursevest,N264,Koning Boudewijnlaan / Kapucijnenvoer,6
Vlaams-Brabant,Leuven,R23,5.62,Tervuursevest / Renessingel,N3,Tervuursesteenweg,4
Vlaams-Brabant,Linter,N3,52.6,St Truidensesteenweg,N279,Helenbosstraat / Landenstraat,2
Vlaams-Brabant,Machelen,N21,7.24,Haachtsesteenweg,,Watertorenlaan,2
Vlaams-Brabant,Machelen,N211,1.41,Luchthavenlaan,N278,Steenweg naar Peutie,2
Vlaams-Brabant,Machelen,R22,15.93,Woluwelaan,,De Cockplein,2
Vlaams-Brabant,Machelen,R22,16.18,Woluwelaan,N21,Haachtsesteenweg,4
Vlaams-Brabant,Machelen,R22,17.08,Woluwelaan,,Budasteenweg,2
Vlaams-Brabant,Machelen,R22,18.25,Woluwelaan,,Kerklaan,4
Vlaams-Brabant,Machelen,R22,18.64,Woluwelaan,,Vilvoordelaan,4
Vlaams-Brabant,Meise,N211,12.02,,,Plasstraat / A12,2
Vlaams-Brabant,Opwijk,N47,2.8,Steenweg op Brussel,,Dorp / Molenstraat,2
Vlaams-Brabant,Opwijk,N47,3.95,Steenweg op Brussel,,Steenweg op Vilvoorde,2
Vlaams-Brabant,Oud-Heverlee,N25,5.38,Expressweg,N251,Naamsesteenweg,2
Vlaams-Brabant,Overijse,N253,18.39,Terhulpensesteenweg,E411,Op- en afrit,3
Vlaams-Brabant,Pepingen,N28,23.3,Ninoofsesteenweg,,Palokenstraat,2
Vlaams-Brabant,Roosdaal,N8,16.52,Ninoofsesteenweg,,Ramerstraat,2
Vlaams-Brabant,Roosdaal,N8,17.5,Ninoofsesteenweg,,KoningAlbertstraat / De Vidtslaan,2
Vlaams-Brabant,Roosdaal,N8,18.24,Ninoofsesteenweg,,Tenzuivenenstraat / Tombergstraat,2
Vlaams-Brabant,Roosdaal,N8,18.89,Ninoofsesteenweg,,Poelk,2
Vlaams-Brabant,Sint-Genesius-Rode,N5,9.2,Waterloosesteenweg,,Zoniënwoudlaan / St. Michielsdreef,2
Vlaams-Brabant,Sint-Pieters-Leeuw,N6,5.75,Bergensesteenweg,,Brusselbaan,2
Vlaams-Brabant,Sint-Pieters-Leeuw,N6,6.46,Bergensteenweg,,V.Cotthem / Groot Bijgaardenstraat,2
Vlaams-Brabant,Sint-Pieters-Leeuw,N6,8.7,Bergensteenweg,,in/uitrit Makro,2
Vlaams-Brabant,Steenokkerzeel,N21,12.9,-,N227,-,2
Vlaams-Brabant,Tervuren,N227,23.9,Tervuursesteenweg,N3,Sint-Jansbergsesteenweg,5
Vlaams-Brabant,Tienen,N29,56.48,Invalsweg,N214,Getestraat,2
Vlaams-Brabant,Tienen,N29,56.9,Moespikvest,,Groenstraat/ St. Helenavest,2
Vlaams-Brabant,Tienen,N29,57.27,Vinckenboschvest / Moespik,,Bostsestraat,2
Vlaams-Brabant,Tienen,N3,43.01,Kabbeekvest/Albertvest,N29,Diestsesteenweg / Vissenakenstraat,2
Vlaams-Brabant,Tienen,N3,43.56,Kabbeekvest Slickstraat,,Oplintersesteenweg / Veldbornstraat Waaiber,2
Vlaams-Brabant,Tienen,N3,44.82,Bergevest,N29,Vinckenboschvest / Aandorenstraat,2
Vlaams-Brabant,Tienen,N3,47.6,St-Truidensteenweg,,Putstraat / Bosschellestraat,2
Vlaams-Brabant,Tienen,R27,3.88,Zuidelijke Ring,N221,Groot Overlaar,4
Vlaams-Brabant,Vilvoorde,N1,5.46,Schaarbeeklei,,Broekstraat,4
Vlaams-Brabant,Vilvoorde,R22,20.01,Woluwelaan,,Leuvensesteenweg,2
Vlaams-Brabant,Zaventem,N2,4.9,Leuvensesteenweg,,Bevrijdingslaan,2
Vlaams-Brabant,Zaventem,N2,6.1,Leuvensesteenweg,,Sint Stefaanstraat,2
Vlaams-Brabant,Zaventem,N2,7.1,Leuvensesteenweg,,Lozenberg,2
Vlaams-Brabant,Zaventem,N2,7.63,Leuvensesteenweg,N262,Grote Daalstraat,2
Vlaams-Brabant,Zaventem,N2,10.347,Leuvensesteenweg,N227,Mechelsesteenweg,4
Vlaams-Brabant,Zaventem,N227,8.99,Mechelsesteenweg,,Op- en afrit E40,5
Vlaams-Brabant,Zemst,N1,11.47,Brusselsesteenweg,,Martelarenplein,2
Vlaams-Brabant,Zemst,N1,14.26,Brusselsesteenweg,,Hoogstraat,2
Vlaams-Brabant,Zemst,N227,4.57,Tervuursesteenweg,N267,Schumanlaan / Trianondreef,4
Oost-Vlaanderen,HAMME,N41,,Rijksweg,,Noordstraat,2
Oost-Vlaanderen,HAMME,N41,,Rijksweg,,Broekstraat,2
Oost-Vlaanderen,HAMME,N41,,Rijksweg,,Neerstraat,2
Oost-Vlaanderen,WICHELEN,N416,,,N442,T'Moleken,1
Oost-Vlaanderen,GENT,R40,,,,Stapelplein,2
Oost-Vlaanderen,SINT-NIKLAAS,R42,,Ring,,Raapstraat,2
Oost-Vlaanderen,MALDEGEM,N9,,,,Canadezenlaan,2
Oost-Vlaanderen,GENT,N60,,Klossestraat,,Krekelstraat,2
Oost-Vlaanderen,GENT,N70,5.2,Antwerpsesteenweg,,Afrit Lochristi / Drieselstraat,2
Oost-Vlaanderen,LOKEREN,N47,24.87,Zelebaan,N473,Martelarenlaan,2
Oost-Vlaanderen,LOKEREN,N70,,,,Heirbrugstraat Veerstraat,2
Oost-Vlaanderen,SINT-NIKLAAS,N70,,,,Brugsken / Hertjen,2
Oost-Vlaanderen,SINT-NIKLAAS,N70,32,Koningin Astridlaan,,Tereken,2
Oost-Vlaanderen,SINT-NIKLAAS,N70,,Gentsebaan,,Driegaaienstraat,2
Oost-Vlaanderen,TEMSE,N16,24.65,Expressweg,,Doornstraat / Gasthuisstraat,2
Oost-Vlaanderen,TEMSE,N16,26.2,Expressweg,,Hoogkamerstraat,2
Oost-Vlaanderen,TEMSE,N419,3.72,Kapelstraat,N485,Hospitaalstraat / Gelaagstraat,2
Oost-Vlaanderen,GERAARDSBERGEN,N42,,Astridlaan,N493,Oudenaardseweg,2
Oost-Vlaanderen,GERAARDSBERGEN,N42,20.9,Brambroek / Leopoldlaan,N8,Gapenberg / Vrijheid,2
Oost-Vlaanderen,NINOVE,N28,38.5,Boudewijnlaan,N405,Aalstersesteenweg,2
Oost-Vlaanderen,ASSENEDE,N49,43,,N448,Stoepestraat,2
Oost-Vlaanderen,DENDERMONDE,N47,14.1,Leopold II-laan,N406,Mechelsestwg / Noordln,2
Oost-Vlaanderen,DENDERMONDE,N406,,Mechelsestw / Noordlaan,N47,Leopold II laan,2
Oost-Vlaanderen,KAPRIJKE,N49,52.5,,,Vaartstraat,2
Oost-Vlaanderen,EEKLO,N49,56.3,,N434,Peperstraat,2
Oost-Vlaanderen,EEKLO,N455,1.9,St. Laureinse steenweg,N49,,2
Oost-Vlaanderen,HAMME,N41,21.56,Rijksweg,,Veldstraat,2
Oost-Vlaanderen,KNESSELARE,N44,7.3,Knokkeweg,N461,Urseleweg,2
Oost-Vlaanderen,GENT,N60,5.87,,,De Klossestraat,2
